Date,Energy_Generated,Efficiency,Energy_Exported,Energy_Used,Peak_Power,Peak_Time,Condition,Min_Temperature,Max_Temperature,Peak_Energy_Import,Off-Peak_Energy_Import,Shoulder_Energy_Import,High-Shoulder_Energy_Import,Insolation
20190402,2121,1.964,1857,0,975,15:05,Mostly Cloudy,9,19,NaN,NaN,NaN,NaN,5995
20190403,1330,1.231,1170,0,692,17:25,Cloudy,5,10,NaN,NaN,NaN,NaN,6014
20190404,5119,4.740,4497,0,928,14:50,Fine,7,17,NaN,NaN,NaN,NaN,6033
20190405,3329,3.082,3130,0,910,13:50,Partly Cloudy,2,21,NaN,NaN,NaN,NaN,6052
20190406,2390,2.213,2136,0,833,16:20,Mostly Cloudy,4,17,NaN,NaN,NaN,NaN,6070
20190407,2815,2.606,1900,0,1067,15:05,Partly Cloudy,5,18,NaN,NaN,NaN,NaN,6087
20190408,1754,1.624,1613,0,875,12:05,Mostly Cloudy,5,20,NaN,NaN,NaN,NaN,6104
20190409,4172,3.863,3616,0,967,14:35,Fine,5,22,NaN,NaN,NaN,NaN,6120
20190410,3123,2.892,2651,0,1014,13:30,Partly Cloudy,4,20,NaN,NaN,NaN,NaN,6135
20190411,1970,1.824,1581,0,923,12:35,Mostly Cloudy,4,17,NaN,NaN,NaN,NaN,6150
20190412,4725,4.375,4688,0,866,13:20,Fine,6,21,NaN,NaN,NaN,NaN,6165
20190413,5630,5.213,5158,0,802,13:40,Fine,0,23,NaN,NaN,NaN,NaN,6179
20190414,1513,1.401,1266,0,520,15:35,Cloudy,3,18,NaN,NaN,NaN,NaN,6192
20190415,3070,2.843,2601,0,709,11:55,Partly Cloudy,4,25,NaN,NaN,NaN,NaN,6205
20190416,2360,2.185,1879,0,1048,12:40,Mostly Cloudy,9,19,NaN,NaN,NaN,NaN,6218
20190417,3378,3.128,2759,0,760,16:35,Partly Cloudy,4,23,NaN,NaN,NaN,NaN,6230
20190418,1800,1.667,1483,0,431,17:05,Mostly Cloudy,9,22,NaN,NaN,NaN,NaN,6241
20190419,3108,2.878,2645,0,773,15:25,Partly Cloudy,9,26,NaN,NaN,NaN,NaN,6252
20190420,3852,3.567,2924,0,825,14:15,Fine,8,25,NaN,NaN,NaN,NaN,6262
20190421,1165,1.079,971,0,379,14:25,Cloudy,7,17,NaN,NaN,NaN,NaN,6272
20190422,3035,2.810,2696,0,621,15:40,Partly Cloudy,6,23,NaN,NaN,NaN,NaN,6282
20190423,2394,2.217,2267,0,668,15:05,Mostly Cloudy,7,24,NaN,NaN,NaN,NaN,6291
20190424,3671,3.399,2990,0,1019,14:45,Partly Cloudy,6,24,NaN,NaN,NaN,NaN,6300
20190425,3144,2.911,2977,0,984,13:20,Partly Cloudy,9,22,NaN,NaN,NaN,NaN,6308
20190426,2715,2.514,2399,0,985,16:40,Partly Cloudy,3,17,NaN,NaN,NaN,NaN,6315
20190427,2477,2.294,2049,0,1041,15:40,Partly Cloudy,7,20,NaN,NaN,NaN,NaN,6323
20190428,3788,3.507,3693,0,963,13:00,Fine,7,21,NaN,NaN,NaN,NaN,6330
20190429,3276,3.033,2706,0,1010,13:50,Partly Cloudy,3,24,NaN,NaN,NaN,NaN,6336
20190430,5749,5.323,4957,0,791,13:40,Fine,3,25,NaN,NaN,NaN,NaN,6342
20190501,5368,4.970,5311,0,771,13:30,Fine,3,27,NaN,NaN,NaN,NaN,6348
20190502,1821,1.686,1656,0,700,13:30,Mostly Cloudy,10,20,NaN,NaN,NaN,NaN,6354
