TS_Call,Date_Début_Période,Date_Fin_Période,Nb_j,Réponse
2020-02-07 15:49:47.706908,20121114,20130413,150,200
2020-02-07 15:50:03.637274,20130414,20130911,150,200
2020-02-07 15:50:17.845144,20130912,20140209,150,200
2020-02-07 15:50:32.021827,20140210,20140710,150,200
2020-02-07 15:50:46.200353,20140711,20141208,150,200
2020-02-07 15:51:00.443318,20141209,20150508,150,200
2020-02-07 15:51:14.606883,20150509,20151006,150,200
2020-02-07 15:51:28.826944,20151007,20160305,150,200
2020-02-07 15:51:42.990578,20160306,20160803,150,200
2020-02-07 15:51:57.218930,20160804,20170101,150,200
2020-02-07 15:52:11.841603,20170102,20170601,150,200
2020-02-07 15:52:26.054433,20170602,20171030,150,200
2020-02-07 15:52:40.244301,20171031,20180330,150,200
2020-02-07 15:52:54.540077,20180331,20180828,150,200
2020-02-07 15:53:08.800760,20180829,20190126,150,200
2020-02-07 15:53:23.020267,20190127,20190626,150,200
2020-02-07 15:53:37.511794,20190627,20191124,150,200
2020-02-07 15:53:51.825164,20191125,20200207,75,200
