TS_Call,Date_cible,Réponse
2019-04-29 16:44:35.130401,20121114,200
2019-04-29 16:44:36.917758,20121115,200
2019-04-30 07:32:09.184761,20121116,200
2019-04-30 07:32:22.977533,20121117,200
2019-04-30 07:32:36.764973,20121118,200
2019-04-30 07:32:50.558921,20121119,200
2019-04-30 07:33:04.345545,20121120,200
2019-04-30 07:33:18.124159,20121121,200
2019-04-30 07:33:31.925272,20121122,200
2019-04-30 07:33:45.721293,20121123,200
2019-04-30 07:33:59.563795,20121124,200
2019-04-30 07:34:13.348391,20121125,200
2019-04-30 07:34:27.135615,20121126,200
2019-04-30 07:34:40.912311,20121127,200
2019-04-30 07:34:54.681246,20121128,200
2019-04-30 07:35:08.467364,20121129,200
2019-04-30 07:35:22.616397,20121130,200
2019-04-30 07:35:36.395720,20121201,200
2019-04-30 07:35:50.186818,20121202,200
2019-04-30 07:36:03.984853,20121203,200
2019-04-30 07:36:17.777509,20121204,200
2019-04-30 07:36:31.569105,20121205,200
2019-04-30 07:36:45.335721,20121206,200
2019-04-30 07:36:59.131863,20121207,200
2019-04-30 07:37:12.919571,20121208,200
2019-04-30 07:37:26.711781,20121209,200
2019-04-30 07:37:40.516260,20121210,200
2019-04-30 07:37:54.299325,20121211,200
2019-04-30 07:38:08.064512,20121212,200
2019-04-30 07:38:21.877507,20121213,200
2019-04-30 07:38:35.672566,20121214,200
2019-04-30 07:38:49.461910,20121215,200
2019-04-30 07:39:03.246279,20121216,200
2019-04-30 07:39:17.052530,20121217,200
2019-04-30 07:39:30.842539,20121218,200
2019-04-30 07:39:44.637067,20121219,200
2019-04-30 07:39:58.419613,20121220,200
2019-04-30 07:40:12.215113,20121221,200
2019-04-30 07:40:26.043800,20121222,200
2019-04-30 07:40:39.826093,20121223,200
2019-04-30 07:40:53.602178,20121224,200
2019-04-30 07:41:07.396682,20121225,200
2019-04-30 07:41:21.185494,20121226,200
2019-04-30 07:41:34.989075,20121227,200
2019-04-30 07:41:48.773294,20121228,200
2019-04-30 07:42:02.739626,20121229,200
2019-04-30 07:42:16.580985,20121230,200
2019-04-30 07:42:30.350841,20121231,200
2019-04-30 07:42:44.179963,20130101,200
2019-04-30 07:42:57.980667,20130102,200
2019-04-30 07:43:11.770882,20130103,200
2019-04-30 07:43:25.553317,20130104,200
2019-04-30 07:43:39.345822,20130105,200
2019-04-30 07:43:53.142756,20130106,200
2019-04-30 07:44:06.947915,20130107,200
2019-04-30 07:44:20.744038,20130108,200
2019-04-30 07:44:34.547035,20130109,200
2019-04-30 07:44:48.346263,20130110,200
2019-04-30 07:45:02.164053,20130111,200
2019-04-30 07:45:15.975263,20130112,200
2019-04-30 07:45:29.773267,20130113,200
2019-04-30 07:45:43.588850,20130114,200
2019-04-30 07:45:57.393349,20130115,200
2019-04-30 07:46:11.268003,20130116,200
2019-04-30 07:46:25.105891,20130117,200
2019-04-30 07:46:38.901794,20130118,200
2019-04-30 07:46:52.699766,20130119,200
2019-04-30 07:47:06.510668,20130120,200
2019-04-30 07:47:20.333616,20130121,200
2019-04-30 07:47:34.143767,20130122,200
2019-04-30 07:47:47.953953,20130123,200
2019-04-30 07:48:01.760972,20130124,200
2019-04-30 07:48:15.569424,20130125,200
2019-04-30 07:48:29.365840,20130126,200
2019-04-30 07:48:43.177642,20130127,200
2019-04-30 07:48:56.996115,20130128,200
2019-04-30 07:49:10.809581,20130129,200
2019-04-30 07:49:24.660828,20130130,200
2019-04-30 07:49:38.485522,20130131,200
