TS_Call,Date_cible,Réponse
2019-04-29 16:44:23.694875,20121114,200
2019-04-29 16:44:25.431874,20121115,200
2019-04-29 19:35:20.424020,20121116,200
2019-04-29 19:35:34.190634,20121117,200
2019-04-29 19:35:47.956479,20121118,200
2019-04-29 19:36:01.713986,20121119,200
2019-04-29 19:36:15.470933,20121120,200
2019-04-29 19:36:29.247426,20121121,200
2019-04-29 19:36:42.997712,20121122,200
2019-04-29 19:36:56.798440,20121123,200
2019-04-29 19:37:10.600551,20121124,200
2019-04-29 19:37:24.387864,20121125,200
2019-04-29 19:37:38.210347,20121126,200
2019-04-29 19:37:52.026411,20121127,200
2019-04-29 19:38:05.865503,20121128,200
2019-04-29 19:38:19.570315,20121129,200
2019-04-29 19:38:33.331648,20121130,200
2019-04-29 19:38:47.075620,20121201,200
2019-04-29 19:39:00.829490,20121202,200
2019-04-29 19:39:14.616497,20121203,200
2019-04-29 19:39:28.377030,20121204,200
2019-04-29 19:39:42.191478,20121205,400
2019-04-29 19:39:55.924674,20121206,400
2019-04-29 19:40:09.712370,20121207,400
2019-04-29 19:40:23.445331,20121208,400
2019-04-29 19:40:37.245602,20121209,400
2019-04-29 19:40:51.008594,20121210,400
2019-04-29 19:41:04.800854,20121211,400
2019-04-29 19:41:18.765945,20121212,400
2019-04-29 19:41:32.738472,20121213,400
2019-04-29 19:41:46.469363,20121214,400
2019-04-29 19:42:00.116648,20121215,200
2019-04-29 19:42:13.892265,20121216,200
2019-04-29 19:42:27.736728,20121217,200
2019-04-29 19:42:41.491787,20121218,200
2019-04-29 19:42:55.232976,20121219,200
2019-04-29 19:43:09.003347,20121220,200
2019-04-29 19:43:22.750536,20121221,200
2019-04-29 19:43:36.502853,20121222,200
2019-04-29 19:43:50.356534,20121223,200
2019-04-29 19:44:04.128318,20121224,200
2019-04-29 19:44:17.885466,20121225,200
2019-04-29 19:44:31.649903,20121226,200
2019-04-29 19:44:45.434968,20121227,200
2019-04-29 19:44:59.206605,20121228,200
2019-04-29 19:45:13.579232,20121229,200
2019-04-29 19:45:27.390994,20121230,200
2019-04-29 19:45:41.154404,20121231,200
2019-04-29 19:45:54.904581,20130101,200
2019-04-29 19:46:08.714166,20130102,200
2019-04-29 19:46:22.487862,20130103,200
2019-04-29 19:46:36.277221,20130104,200
2019-04-29 19:46:50.058621,20130105,200
2019-04-29 19:47:03.893289,20130106,200
2019-04-29 19:47:17.717048,20130107,200
2019-04-29 19:47:31.501263,20130108,200
2019-04-29 19:47:45.294528,20130109,200
2019-04-29 19:47:59.089977,20130110,200
2019-04-29 19:48:12.921805,20130111,200
2019-04-29 19:48:26.730639,20130112,200
2019-04-29 19:48:40.562716,20130113,200
2019-04-29 19:48:54.324001,20130114,200
2019-04-29 19:49:08.084310,20130115,200
2019-04-29 19:49:21.918764,20130116,200
2019-04-29 19:49:35.681554,20130117,200
2019-04-29 19:49:49.458251,20130118,200
2019-04-29 19:50:03.263516,20130119,200
2019-04-29 19:50:17.028119,20130120,200
2019-04-29 19:50:30.848947,20130121,200
2019-04-29 19:50:44.616705,20130122,200
2019-04-29 19:50:58.429803,20130123,200
2019-04-29 19:51:12.179688,20130124,200
2019-04-29 19:51:26.122776,20130125,200
2019-04-29 19:51:39.931778,20130126,200
2019-04-29 19:51:53.618100,20130127,200
2019-04-29 19:52:07.417525,20130128,200
2019-04-29 19:52:21.189659,20130129,200
2019-04-29 19:52:35.005571,20130130,200
2019-04-29 19:52:48.808469,20130131,200
2019-04-29 19:53:02.616181,20130201,200
2019-04-29 19:53:16.485979,20130202,200
2019-04-29 19:53:30.286945,20130203,200
2019-04-29 19:53:44.065830,20130204,200
2019-04-29 19:53:57.881302,20130205,200
2019-04-29 19:54:11.680518,20130206,200
2019-04-29 19:54:25.414774,20130207,200
2019-04-29 19:54:39.222264,20130208,200
2019-04-29 19:54:53.006909,20130209,200
2019-04-29 19:55:06.809672,20130210,200
2019-04-29 19:55:20.631628,20130211,200
2019-04-29 19:55:34.419864,20130212,200
2019-04-29 19:55:48.214031,20130213,200
2019-04-29 19:56:02.040660,20130214,200
2019-04-29 19:56:15.846708,20130215,200
2019-04-29 19:56:29.639306,20130216,200
2019-04-29 19:56:43.442390,20130217,200
2019-04-29 19:56:57.466816,20130218,200
2019-04-29 19:57:11.281812,20130219,200
2019-04-29 19:57:25.133697,20130220,200
